Prefixo do veiculo,Data de entrada do veiculo na frota,Quantidade de lugares sentados disponiveis,Linha associada ao veiculo,Modelo do veiculo,Categoria do veiculo
HI040,2020-02-28,26,659,MARCOPOLO TORINO,COMUM
GL600,2020-04-08,35,023,MARCOPOLO TORINO,ARTICULADO
HI612,2020-04-17,35,623,MARCOPOLO TORINO,ARTICULADO
HI610,2020-04-17,35,623,MARCOPOLO TORINO,ARTICULADO
HI609,2020-04-17,35,216,MARCOPOLO TORINO,ARTICULADO
HI613,2020-04-17,35,684,MARCOPOLO TORINO,ARTICULADO
HI611,2020-04-30,35,684,MARCOPOLO TORINO,ARTICULADO
GL329,2020-04-08,24,508,MARCOPOLO TORINO,PADRON
GE736,2020-04-08,53,500,MARCOPOLO VIALE BRT,BIARTICULADO
GL601,2020-02-28,35,022,MARCOPOLO TORINO,ARTICULADO
BI029,2020-02-28,26,812,MARCOPOLO TORINO,COMUM
MI852,2020-03-10,16,464,MARCOPOLO TORINO,MICROESPECIAL
MI855,2020-03-10,16,911,MARCOPOLO TORINO,MICROESPECIAL
MI856,2020-03-10,16,915,MARCOPOLO TORINO,MICROESPECIAL
MI850,NULO,16,913,MARCOPOLO TORINO,MICROESPECIAL
MI854,2020-03-10,16,912,MARCOPOLO TORINO,MICROESPECIAL
BI886,2020-02-28,16,214,MARCOPOLO TORINO,MICROESPECIAL
BI884,2020-02-28,16,214,MARCOPOLO TORINO,MICROESPECIAL
BI890,2020-02-28,16,275,MARCOPOLO TORINO,MICROESPECIAL
BI900,2020-02-28,16,366,MARCOPOLO TORINO,MICROESPECIAL
BI901,2020-02-28,16,370,MARCOPOLO TORINO,MICROESPECIAL
BI014,2020-02-28,26,924,MARCOPOLO TORINO,COMUM
BI015,2020-02-28,26,243,MARCOPOLO TORINO,COMUM
*B610,2020-04-27,35,040,MARCOPOLO TORINO,ARTICULADO
BI883,2020-02-28,16,386,MARCOPOLO TORINO,MICROESPECIAL
*B609,2020-04-17,35,040,MARCOPOLO TORINO,ARTICULADO
*B611,2020-04-17,35,060,MARCOPOLO TORINO,ARTICULADO
HL601,2020-04-27,35,023,MARCOPOLO TORINO,ARTICULADO
HL602,2020-04-27,35,023,MARCOPOLO TORINO,ARTICULADO
BI889,2020-02-28,16,209,NULO,MICROESPECIAL
BI888,2020-02-28,16,175,MARCOPOLO TORINO,MICROESPECIAL
BI887,2020-02-26,16,224,MARCOPOLO TORINO,MICROESPECIAL
BI030,2020-02-26,26,233,MARCOPOLO TORINO,COMUM
BI031,2020-02-28,26,232,MARCOPOLO TORINO,COMUM
JI018,2020-03-05,26,732,MARCOPOLO TORINO,COMUM
BE726,2020-04-07,53,200,MARCOPOLO VIALE BRT,BIARTICULADO
BI010,2020-02-28,26,342,MARCOPOLO TORINO,COMUM
BI891,2020-02-28,16,244,MARCOPOLO TORINO,MICROESPECIAL
BI893,2020-02-28,16,229,MARCOPOLO TORINO,MICROESPECIAL
BE725,2020-04-07,53,200,MARCOPOLO VIALE BRT,BIARTICULADO
BE727,2020-04-07,53,203,MARCOPOLO VIALE BRT,BIARTICULADO
BE728,2020-04-07,53,200,MARCOPOLO VIALE BRT,BIARTICULADO
HI039,2020-02-28,24,658,NULO,COMUM
CI008,2020-03-20,26,NULO,MARCOPOLO TORINO,COMUM
CI007,2020-03-20,26,NULO,MARCOPOLO TORINO,COMUM
CL601,2020-04-27,35,023,MARCOPOLO TORINO,ARTICULADO
JI301,2020-04-13,25,778,MARCOPOLO TORINO,PADRON
JI300,2020-04-15,25,778,MARCOPOLO TORINO,PADRON
MI853,2020-03-10,16,967,MARCOPOLO TORINO,MICROESPECIAL
MI002,2020-04-02,24,916,CAIO APACHE,COMUM
MI004,2020-04-02,24,924,CAIO APACHE,COMUM
MI005,2020-04-02,24,924,CAIO APACHE,COMUM
MI001,2020-04-02,24,821,CAIO APACHE,COMUM
BI894,2020-03-06,16,272,MARCOPOLO TORINO,MICROESPECIAL
BI895,2020-03-06,16,343,MARCOPOLO TORINO,MICROESPECIAL
BI898,2020-03-06,16,188,MARCOPOLO TORINO,MICROESPECIAL
BI012,2020-03-06,26,232,MARCOPOLO TORINO,COMUM
BI021,2020-03-06,26,232,MARCOPOLO TORINO,COMUM
BI011,2020-03-06,26,236,MARCOPOLO TORINO,COMUM
BI899,2020-03-06,16,181,MARCOPOLO TORINO,MICROESPECIAL
BI017,2020-03-06,26,225,MARCOPOLO TORINO,COMUM
BI896,2020-03-06,16,184,MARCOPOLO TORINO,MICROESPECIAL
BI022,2020-03-06,26,812,MARCOPOLO TORINO,COMUM
BI020,2020-03-06,26,242,MARCOPOLO TORINO,COMUM
BI027,2020-03-06,26,811,MARCOPOLO TORINO,COMUM
BI024,2020-03-06,26,242,MARCOPOLO TORINO,COMUM
BI018,2020-03-06,26,225,MARCOPOLO TORINO,COMUM
BI025,2020-03-06,26,816,MARCOPOLO TORINO,COMUM
BI028,2020-03-06,26,822,MARCOPOLO TORINO,COMUM
BI301,2020-03-06,25,182,MARCOPOLO TORINO,PADRON
BI023,2020-03-06,26,226,MARCOPOLO TORINO,COMUM
BI019,2020-03-06,26,231,MARCOPOLO TORINO,COMUM
KI002,NULO,26,472,NULO,COMUM
KI001,2020-04-24,26,472,NULO,COMUM
*I003,NULO,26,332,MARCOPOLO TORINO,COMUM
*I006,2020-04-24,26,323,MARCOPOLO TORINO,COMUM
*I007,2020-04-24,26,462,MARCOPOLO TORINO,COMUM
*I001,2020-04-24,26,334,MARCOPOLO TORINO,COMUM
*I002,2020-04-24,26,462,MARCOPOLO TORINO,COMUM
*I008,2020-04-24,26,474,MARCOPOLO TORINO,COMUM
*I005,2020-04-24,26,322,MARCOPOLO TORINO,COMUM
*I004,2020-04-24,26,338,MARCOPOLO TORINO,COMUM
BE729,2020-04-07,53,203,MARCOPOLO VIALE BRT,BIARTICULADO
HE615,2020-04-01,40,602,CAIO MILLENNIUM BRT,ARTICULADO
HE613,2020-04-01,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
HE614,2020-04-01,40,NULO,CAIO MILLENNIUM BRT,ARTICULADO
GE607,2020-03-12,40,503,CAIO MILLENNIUM BRT,ARTICULADO
GE612,NULO,40,503,NULO,ARTICULADO
GE606,2020-03-12,40,503,CAIO MILLENNIUM BRT,ARTICULADO
GL327,2020-04-08,24,508,MARCOPOLO TORINO,PADRON
EI006,2020-03-30,26,532,MARCOPOLO TORINO,COMUM
EI012,2020-03-30,26,531,MARCOPOLO TORINO,COMUM
EI002,2020-03-30,26,531,MARCOPOLO TORINO,COMUM
EI001,NULO,26,515,MARCOPOLO TORINO,COMUM
EI015,2020-03-30,26,535,MARCOPOLO TORINO,COMUM
EI010,2020-03-30,26,663,MARCOPOLO TORINO,COMUM
EI009,2020-03-30,26,561,MARCOPOLO TORINO,COMUM
EI008,2020-03-30,26,515,MARCOPOLO TORINO,COMUM
EI007,2020-03-30,26,523,MARCOPOLO TORINO,COMUM
EI011,2020-03-30,26,528,MARCOPOLO TORINO,COMUM
EI016,2020-03-30,26,515,MARCOPOLO TORINO,COMUM
EI005,2020-03-30,26,561,NULO,COMUM
EI020,2020-03-30,26,512,MARCOPOLO TORINO,COMUM
EI019,2020-03-30,26,521,MARCOPOLO TORINO,COMUM
EI018,NULO,26,533,NULO,COMUM
EI014,2020-03-30,26,471,MARCOPOLO TORINO,COMUM
HL331,2020-04-01,24,607,CAIO MILLENNIUM,PADRON
HL329,2020-04-01,24,607,CAIO MILLENNIUM,PADRON
HL330,2020-04-01,24,607,CAIO MILLENNIUM,PADRON
HI043,2020-03-18,26,630,MARCOPOLO TORINO,COMUM
CL602,2020-04-30,35,022,MARCOPOLO TORINO,ARTICULADO
EL326,2020-04-30,24,505,MARCOPOLO TORINO,PADRON
EL324,2020-04-30,24,505,MARCOPOLO TORINO,PADRON
EL325,2020-04-30,24,505,MARCOPOLO TORINO,PADRON
EL323,2020-04-30,24,507,MARCOPOLO TORINO,PADRON
EL322,2020-04-30,24,507,MARCOPOLO TORINO,PADRON
EL321,2020-04-30,24,507,MARCOPOLO TORINO,PADRON
EL319,NULO,24,505,MARCOPOLO TORINO,PADRON
EL318,2020-04-30,24,507,MARCOPOLO TORINO,PADRON
EB606,2020-07-15,36,021,MARCOPOLO TORINO,ARTICULADO
EL601,2020-07-30,37,023,MARCOPOLO TORINO,ARTICULADO
EB604,2020-07-15,36,050,NULO,ARTICULADO
EB603,2020-07-15,36,020,MARCOPOLO TORINO,ARTICULADO
EB601,2020-07-15,36,050,MARCOPOLO TORINO,ARTICULADO
EB600,2020-07-15,36,020,MARCOPOLO TORINO,ARTICULADO
EL600,2020-07-15,37,023,MARCOPOLO TORINO,ARTICULADO
EL328,NULO,24,506,MARCOPOLO TORINO,PADRON
EL327,2020-07-15,24,507,MARCOPOLO TORINO,PADRON
EL329,2020-07-15,24,506,MARCOPOLO TORINO,PADRON
EL330,2020-07-15,24,506,MARCOPOLO TORINO,PADRON
EL331,2020-07-15,24,022,MARCOPOLO TORINO,PADRON
EL332,2020-07-15,24,506,MARCOPOLO TORINO,PADRON
EL333,2020-07-15,24,507,NULO,PADRON
EL602,2020-07-30,35,022,MARCOPOLO TORINO,ARTICULADO
EB608,2020-07-30,33,030,MARCOPOLO TORINO,ARTICULADO
EB609,2020-07-30,33,030,MARCOPOLO TORINO,ARTICULADO
EL603,2020-07-30,35,022,MARCOPOLO TORINO,ARTICULADO
GE735,2017-11-30,52,203,CAIO MILLENNIUM BRT,BIARTICULADO
